date,home_team,away_team,tournament,home_fifa_points,away_fifa_points,fifa_points_diff,home_form,away_form,h2h_home_win_rate,tournament_weight,home_avg_goal_diff,away_avg_goal_diff,label
2000-02-02,Cyprus,Lithuania,Cyprus International Tournament,0.2255083179297597,0.2421441774491682,0.4812668471071407,0.5,0.5,0.5,0.25,0.5,0.5492957746478874,2
2000-02-03,Nigeria,Morocco,African Cup of Nations,0.20517560073937152,0.283271719038817,0.4444592044014192,0.5,0.6666666666666666,0.5,0.75,0.5263157894736842,0.5680751173708921,2
2000-02-03,Tunisia,Congo,African Cup of Nations,0.27911275415896486,0.18299445471349352,0.5487936502665094,0.25,0.0,0.5,0.75,0.5197368421052632,0.5352112676056339,2
2000-02-04,Norway,Sweden,Nordic Championship,0.3317929759704251,0.3063770794824399,0.506451023695266,0.0,0.5,0.5,0.125,0.5,0.5492957746478874,1
2000-02-04,Romania,Georgia,Cyprus International Tournament,0.3304066543438078,0.21950092421441775,0.5576496244513447,1.0,0.5,0.5,0.25,0.5526315789473684,0.5492957746478874,1
2000-02-04,Moldova,Lithuania,Cyprus International Tournament,0.18391866913123844,0.2421441774491682,0.45635941971229155,0.0,0.0,0.5,0.25,0.4736842105263158,0.5211267605633804,2
2000-02-04,Faroe Islands,Iceland,Nordic Championship,0.15249537892791126,0.24722735674676524,0.4344962334434795,0.0,0.5,0.5,0.125,0.4736842105263158,0.5633802816901409,0
2000-02-04,Cyprus,Armenia,Cyprus International Tournament,0.2255083179297597,0.1963955637707948,0.5086650172414747,1.0,0.5,0.5,0.25,0.5263157894736842,0.5633802816901409,2
2000-02-04,Kuwait,Iran,Friendly,0.1977818853974122,0.24722735674676524,0.46161765438453745,1.0,0.0,0.5,0.0,0.6052631578947368,0.5352112676056339,1
2000-02-05,Guatemala,Chile,Friendly,0.2097966728280961,0.2855822550831793,0.44584295036779964,0.0,0.0,0.5,0.0,0.4824561403508772,0.5211267605633804,2
2000-02-05,Japan,Mexico,Lunar New Year Cup,0.23105360443622922,0.32624768946395566,0.4342194842502034,0.5,1.0,0.5,0.125,0.5,0.5774647887323944,0
2000-02-06,Ghana,South Africa,African Cup of Nations,0.24306839186691312,0.27587800369685767,0.4715806253424771,0.5,0.6666666666666666,0.5,0.75,0.5131578947368421,0.5774647887323944,0
2000-02-06,Albania,Andorra,Malta International Tournament,0.19731977818853974,0.08317929759704251,0.5595868688042774,0.5,0.5,0.5,0.125,0.5,0.5492957746478874,2
2000-02-06,Cameroon,Algeria,African Cup of Nations,0.23151571164510165,0.19454713493530498,0.5133697535271684,0.2,0.25,0.5,0.75,0.5105263157894737,0.5563380281690141,2
2000-02-06,Cayman Islands,Jamaica,Friendly,0.08133086876155268,0.24907578558225507,0.3907698609058554,0.5,1.0,0.5,0.0,0.5,0.5774647887323944,1
2000-02-06,Cyprus,Romania,Cyprus International Tournament,0.2255083179297597,0.3304066543438078,0.4284077511914053,1.0,0.5,0.5,0.25,0.5263157894736842,0.5774647887323944,2
2000-02-06,Georgia,Armenia,Cyprus International Tournament,0.21950092421441775,0.1963955637707948,0.5050672777288854,0.0,0.3333333333333333,0.5,0.25,0.5,0.5492957746478874,2
2000-02-06,Latvia,Lithuania,Cyprus International Tournament,0.2255083179297597,0.2421441774491682,0.4812668471071407,0.0,0.0,0.5,0.25,0.4473684210526316,0.5211267605633804,0
2000-02-06,Malta,Azerbaijan,Malta International Tournament,0.1423290203327172,0.18022181146025879,0.46853638421644,1.0,0.5,0.5,0.125,0.5526315789473684,0.5492957746478874,2
2000-02-07,Egypt,Tunisia,African Cup of Nations,0.2578558225508318,0.27911275415896486,0.47849935517437964,0.6666666666666666,0.4,0.5,0.75,0.5131578947368421,0.571830985915493,0
2000-02-07,Nigeria,Senegal,African Cup of Nations,0.20517560073937152,0.20286506469500923,0.49261356403146084,0.6666666666666666,0.25,0.5,0.75,0.5350877192982456,0.5563380281690141,2
2000-02-07,Singapore,Malaysia,Friendly,0.17190388170055454,0.14186691312384472,0.5092185156280269,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-02-08,Mexico,Czechia,Lunar New Year Cup,0.32624768946395566,0.3576709796672828,0.47241087292230544,1.0,0.5,0.5,0.125,0.5263157894736842,0.5492957746478874,0
2000-02-08,Syria,North Korea,Friendly,0.15665434380776339,0.0,0.5850477945856788,0.0,0.5,0.5,0.0,0.39473684210526316,0.5492957746478874,2
2000-02-08,Albania,Azerbaijan,Malta International Tournament,0.19731977818853974,0.18022181146025879,0.501469538216296,1.0,0.0,0.5,0.125,0.5789473684210527,0.46478873239436624,2
2000-02-08,Malta,Andorra,Malta International Tournament,0.1423290203327172,0.08317929759704251,0.5266537148044214,1.0,0.0,0.5,0.125,0.5657894736842105,0.46478873239436624,1
2000-02-09,Chile,Australia,Friendly,0.2855822550831793,0.18946395563770796,0.5487936502665094,0.0,0.5,0.5,0.0,0.4736842105263158,0.5492957746478874,2
2000-02-09,Honduras,El Salvador,Friendly,0.21164510166358594,0.18299445471349352,0.5083882680481986,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-02-09,Bulgaria,Slovakia,Friendly,0.2601663585951941,0.28927911275415896,0.4737946188886859,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-02-09,Cayman Islands,Jamaica,Friendly,0.08133086876155268,0.24907578558225507,0.3907698609058554,0.0,0.5,0.5,0.0,0.5,0.5633802816901409,0
2000-02-10,Andorra,Azerbaijan,Malta International Tournament,0.08317929759704251,0.18022181146025879,0.43311248747709896,0.0,0.0,0.5,0.125,0.4605263157894737,0.4929577464788733,1
2000-02-10,Cameroon,Tunisia,African Cup of Nations,0.23151571164510165,0.27911275415896486,0.46272465115764183,0.3333333333333333,0.5,0.5,0.75,0.5131578947368421,0.5727699530516432,2
2000-02-10,Hong Kong,Singapore,Friendly,0.133086876155268,0.17190388170055454,0.4679828858298878,0.5,1.0,0.5,0.0,0.5,0.6056338028169015,1
2000-02-10,Kuwait,Turkmenistan,AFC Asian Cup qualification,0.1977818853974122,0.11598890942698706,0.5402144252749503,0.5,0.5,0.5,0.5,0.5526315789473684,0.5492957746478874,2
2000-02-10,Malta,Albania,Malta International Tournament,0.1423290203327172,0.19731977818853974,0.45829666406522424,0.6666666666666666,1.0,0.5,0.125,0.543859649122807,0.6056338028169015,0
2000-02-10,Nepal,Yemen,AFC Asian Cup qualification,0.07347504621072089,0.0688539741219963,0.4939973099978413,0.5,0.5,0.5,0.5,0.5,0.5492957746478874,0
2000-02-10,Nigeria,South Africa,African Cup of Nations,0.20517560073937152,0.27587800369685767,0.44888719149383677,0.75,0.75,0.5,0.75,0.5328947368421053,0.5774647887323944,2
